SampleID,T2.start,T2.end,T3.start,T3.end,T4.start,T4.end,ID.plate
4222v103xC,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,4222v103xC hi5a
1313v102xA,5/25/18,5/31/18,5/30/18,6/2/18,6/5/18,6/8/18,1313v102xA hi5a
4222v102xC,5/25/18,5/31/18,5/30/18,6/2/18,6/6/18,6/8/18,4222v102xC hi5a
4222v10xC,5/25/18,5/28/18,5/30/18,6/2/18,6/6/18,6/8/18,4222v10xC hi5a
4242v1xA,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/7/18,4242v1xA hi5a
1328v103xC,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,1328v103xC hi5a
blank,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,blank hi5a
1322v103xA,5/25/18,5/31/18,5/30/18,6/2/18,6/5/18,6/8/18,1322v103xA hi5a
4242v103xB,5/25/18,5/30/18,5/30/18,6/2/18,6/5/18,6/8/18,4242v103xB hi5a
1322v1xC,5/25/18,5/31/18,5/30/18,6/2/18,6/6/18,6/8/18,1322v1xC hi5a
13s103xC,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/8/18,13s103xC hi5a
4222v1xB,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/8/18,4222v1xB hi5a
13s10xC,5/25/18,5/30/18,5/30/18,6/2/18,6/5/18,6/7/18,13s10xC hi5a
13s1xA,5/25/18,5/28/18,5/30/18,6/2/18,6/6/18,6/8/18,13s1xA hi5a
1322v102xB,5/28/18,5/30/18,5/30/18,6/2/18,6/5/18,6/8/18,1322v102xB hi5a
4228v102xB,5/27/18,5/29/18,5/30/18,6/2/18,6/5/18,6/8/18,4228v102xB hi5a
13s103xCb,5/25/18,5/29/18,5/30/18,6/2/18,6/5/18,6/8/18,13s103xCb hi5a
42s1xB,5/25/18,5/27/18,5/30/18,5/31/18,6/5/18,6/7/18,42s1xB hi5a
1322v1xB,5/25/18,5/30/18,5/30/18,6/2/18,6/5/18,6/8/18,1322v1xB hi5a
13s103xB,5/28/18,5/30/18,5/31/18,6/2/18,6/5/18,6/8/18,13s103xB hi5a
4228v10xB,5/27/18,5/29/18,5/30/18,6/2/18,6/5/18,6/7/18,4228v10xB hi5a
1322v103xB,5/27/18,5/30/18,5/30/18,6/2/18,6/5/18,6/8/18,1322v103xB hi5b
1313v102xB,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,1313v102xB hi5b
4242v1xB,5/27/18,5/30/18,5/30/18,6/2/18,6/5/18,6/8/18,4242v1xB hi5b
4222v103xC,5/25/18,5/31/18,5/30/18,6/4/18,6/6/18,6/8/18,4222v103xC hi5b
1313v102xA,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,1313v102xA hi5b
4222v102xC,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,4222v102xC hi5b
4222v10xC,5/25/18,5/31/18,5/30/18,6/2/18,6/5/18,6/8/18,4222v10xC hi5b
4242v1xA,5/25/18,5/30/18,5/30/18,6/2/18,6/5/18,6/7/18,4242v1xA hi5b
1328v103xC,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,1328v103xC hi5b
