SampleID,start.T2,end.T2,start.T3,end.T3,ID.plate
13131xD,5/29/18,6/4/18,6/5/18,6/8/18,13131xD lo4b
1322v103xC,5/29/18,6/3/18,6/5/18,6/7/18,1322v103xC lo4b
42s103xC,5/29/18,6/4/18,6/5/18,6/8/18,42s103xC lo4b
4222v103xD,5/30/18,6/4/18,6/5/18,6/8/18,4222v103xD lo4b
13s103xD,5/29/18,6/4/18,6/5/18,6/8/18,13s103xD lo4b
1313v102xA,5/31/18,6/4/18,6/5/18,6/7/18,1313v102xA lo4b
1322v10xB,5/28/18,6/4/18,6/6/18,6/8/18,1322v10xB lo4b
42s103xB,5/28/18,6/4/18,6/5/18,6/8/18,42s103xB lo4b
4228v10xCb,5/29/18,6/4/18,6/6/18,6/8/18,4228v10xCb lo4b
13s102xD,5/29/18,6/3/18,6/6/18,6/8/18,13s102xD lo4b
13s10xD,5/28/18,6/4/18,6/5/18,6/8/18,13s10xD lo4b
42s1xC,5/31/18,6/4/18,6/5/18,6/8/18,42s1xC lo4b
1322v102xC,5/28/18,6/4/18,6/6/18,6/8/18,1322v102xC lo4b
4228v1xC,5/30/18,6/4/18,6/6/18,6/7/18,4228v1xC lo4b
13s1xC,5/29/18,6/4/18,6/6/18,6/8/18,13s1xC lo4b
1322v103xB,5/28/18,6/4/18,6/5/18,6/8/18,1322v103xB lo5a
1313v102xB,5/29/18,6/4/18,6/5/18,6/8/18,1313v102xB lo5a
4242v1xB,5/30/18,6/4/18,6/5/18,6/8/18,4242v1xB lo5a
4222v103xC,5/28/18,6/4/18,6/5/18,6/8/18,4222v103xC lo5a
1313v102xA,5/28/18,6/4/18,6/5/18,6/8/18,1313v102xA lo5a
4222v102xC,5/29/18,6/3/18,6/6/18,6/8/18,4222v102xC lo5a
4222v10xC,5/28/18,6/3/18,6/5/18,6/8/18,4222v10xC lo5a
4242v1xA,5/28/18,6/4/18,6/5/18,6/8/18,4242v1xA lo5a
1328v103xC,5/28/18,6/4/18,6/5/18,6/8/18,1328v103xC lo5a
blank,5/28/18,6/4/18,6/5/18,6/8/18,blank lo5a
1322v103xA,5/29/18,6/4/18,6/5/18,6/8/18,1322v103xA lo5a
4242v103xB,5/29/18,6/4/18,6/5/18,6/8/18,4242v103xB lo5a
1322v1xC,5/28/18,6/4/18,6/5/18,6/8/18,1322v1xC lo5a
13s103xC,5/29/18,6/1/18,6/5/18,6/8/18,13s103xC lo5a
